id,documentation,thriller,sport,history,scifi,european,romance,horror,war,action,crime,reality,animation,family,drama,fantasy,comedy,western,music
tm114356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm157853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm132164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm446654,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm348735,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tm151332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm342996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm24110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm371359,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm55091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ts63001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm311264,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
tm411457,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm172482,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
tm419052,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
tm47673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tm52274,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
tm147829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ts20981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tm107744,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ts22176,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm15897,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts21223,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
tm191013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm122434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tm25947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tm43808,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts20339,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
ts5145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
tm191110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ts34435,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0
tm192037,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tm27395,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tm113513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts20983,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
tm192405,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tm116655,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
ts21567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tm116488,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm11556,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
tm56574,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ts20960,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
tm53991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
tm49178,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
ts25252,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
tm191989,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts22193,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
ts22489,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
ts21034,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0
tm121879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm44402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tm187187,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
ts16919,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
tm6859,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
tm118238,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
tm111163,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
