id,imdb_id,imdb_score,imdb_votes,tmdb_score,tmdb_popularity
tm44402,tt0172493,7.3,189598,7.6,20.424
tm187187,tt0107362,6.4,153044,0.0,22.196
ts16919,tt0111875,7.5,7832,10.0,6.688
tm6859,tt0102492,6.9,82029,7.4,20.545
tm118238,tt0111756,6.7,51714,6.751,14.677
tm111163,tt0116213,6.2,112738,6.0,19.437
tm190835,tt0169858,8.0,55375,0.0,32.569
tm192769,tt0120434,5.9,50139,8.5,12.537
tm187791,tt0107206,7.2,105070,6.973,19.8
tm113576,tt0110367,7.3,59379,7.314,13.683
tm65686,tt0120873,6.5,106805,5.5,24.205
ts8570,tt0144701,3.8,9730,0.0,14.641
tm191387,tt0118615,4.8,105685,0.0,34.405
ts27693,tt0115231,7.8,15829,7.5,33.544
tm19494,tt0191397,6.6,65753,6.9,30.982
tm191772,tt0120102,7.1,145412,0.0,13.766
tm12499,tt0113957,5.9,68538,5.5,15.935
tm186589,tt0106582,6.5,131106,6.5,27.78
tm189764,tt0107554,7.5,59570,0.0,13.928
tm10739,tt0113481,5.6,72581,6.2,10.75
tm1822,tt0109015,4.5,9433,5.5,12.603
tm55369,tt0138414,6.8,6673,10.0,6.276
ts251477,,,,7.8,7.73
tm192431,tt0962637,6.2,65323,0.0,12.863
ts22286,tt0221735,8.0,5133,0.0,35.757
tm192199,tt0120177,5.2,68924,4.0,16.989
ts11397,tt0222518,6.2,3973,9.0,13.313
tm56033,tt0159382,7.0,21922,7.3,8.381
ts21581,tt0247102,7.3,4633,0.0,12.163
tm117488,tt0110657,4.5,31416,6.5,20.185
tm190811,tt0107004,6.5,12031,6.3,8.136
tm191431,tt0119013,4.8,34841,4.0,14.599
tm10811,tt0113280,6.8,5231,10.0,3.308
tm49839,tt0119905,5.8,6950,6.3,9.25
ts20918,tt0200353,6.9,2441,0.0,5.745
ts21693,tt0108927,6.3,12875,0.0,21.489
ts20939,tt0115275,5.8,3830,0.0,10.901
ts21684,tt5582224,7.8,3139,5.0,7.222
ts22080,tt0213363,7.5,4432,7.5,40.189
tm67635,tt0172684,7.6,53034,4.9,12.35
tm320211,tt6051792,6.3,633,0.0,0.685
tm7073,tt0102227,4.6,3271,5.1,7.945
ts28516,tt0289649,9.0,2526,0.0,8.565
tm117873,tt0110076,7.5,21399,6.5,6.314
tm55100,tt0164538,7.5,29117,4.7,7.811
tm64817,tt0500140,7.9,5955,6.8,5.822
ts22039,tt0173554,7.4,1759,0.0,7.905
tm188606,tt0108041,7.0,723,6.5,1.858
tm41525,tt0221344,7.8,6242,7.9,10.506
tm189171,tt0108291,6.7,1620,6.1,5.092
tm63514,tt0174852,7.9,4585,4.2,3.766
tm21911,tt0249934,6.5,288,6.0,0.656
tm188970,tt0152183,8.5,3129,0.0,3.784
tm12876,tt0112553,8.1,12882,7.2,4.99
ts224786,,,,7.6,7.352
tm62176,tt0206921,6.1,5561,5.4,2.595
tm52871,tt0211634,6.3,3118,5.6,3.623
tm8687,,,,6.1,1.84
tm104933,tt0938333,6.9,122,5.8,1.536
tm184326,tt0106655,7.8,3624,7.3,3.328
tm62385,tt0216817,6.3,8796,6.2,7.865
tm191614,tt0119629,7.2,2932,0.0,3.287
tm110766,tt0115895,6.9,764,6.7,2.099
tm9898,tt0140399,7.5,3248,5.4,3.576
tm47530,tt0151121,6.4,3672,7.0,3.393
tm57169,tt0287570,7.8,1109,6.9,2.681
tm192301,tt0274789,6.7,1253,5.8,2.316
tm58893,tt0164550,5.5,7757,0.0,4.112
tm110160,tt0139872,7.9,2665,7.7,2.828
tm118438,tt0109134,6.6,6656,10.0,3.806
tm424630,tt0103123,7.2,254,7.0,1.533
tm27601,tt0222270,6.1,7768,6.4,7.778
tm203186,tt0243174,8.1,92,4.2,1.635
tm128073,,,,5.7,3.822
tm7951,tt0294967,6.1,203,7.0,2.297
tm7135,,,,7.5,1.08
tm52083,tt0157183,7.6,4327,5.8,3.308
tm340430,tt0187096,6.7,365,5.0,1.248
tm7032,tt0102058,6.9,392,6.2,2.481
tm256669,tt0107060,6.1,828,3.7,1.763
tm64729,tt0938332,6.4,67,6.5,1.83
tm184224,tt0938331,7.7,182,0.0,3.793
tm25389,tt0248012,6.0,4291,6.6,2.835
tm34391,tt9230920,7.3,175,8.5,1.444
tm44776,tt0196355,5.9,1018,0.0,1.12
tm334788,tt0267130,4.5,208,8.0,1.554
tm117840,tt0110545,6.5,1040,6.0,1.4
tm42397,tt0233856,4.6,4323,5.3,4.338
tm314602,tt0112916,5.0,252,5.0,2.045
tm255589,,,,5.2,1.89
tm7810,tt0102537,5.6,353,6.0,2.713
tm210754,,,,7.6,1.396
tm449775,tt0170416,5.8,74,0.0,1.323
ts4,tt0903747,9.5,1865516,7.5,353.848
ts20371,tt1628033,8.7,119050,7.4,45.549
ts9,tt1520211,8.1,984088,7.6,597.277
